key,en,nl,cn
font_file,arrows.ttf,arrows.ttf,unifont-16.0.04.ttf
button_about,about,over,关于
button_advanced,advanced,geavanceerd,高级设置
button_airport,airport,luchthaven,机场
button_airspace,airspace,luchtruim,空域
button_app,APP,,进近
button_arrival,arrival,inkomend,进场
button_arrivalsecond,arrival 2,inkomend 2,进场2
button_auto,auto,auto,自动
button_background,background,achtergrond,背景
button_bar,bar,balk,侧边栏
button_bgtext,bgtext,bgtext,地图注记
button_blog,blog,blog,开发日志
button_calm,calm,kalm,静风
button_cancel,C,,取消
button_captions,captions,ondertiteling,字幕
button_circle,circle,cirkel,冲突圈
button_clear,clear,wissen,清除
button_clearsky,clear,helder,晴朗
button_clock,clock,klok,时钟
button_clouds,clouds,wolken,多云
button_coast,coast,kustlijn,海岸线
button_colors,color,kleur,颜色
button_controls,controls,besturing,操作设置
button_credits,credits,credits,制作组
button_custom,custom,aangepast,自定义
button_dct,DCT,,直飞
button_defaults,defaults,standaard,恢复默认
button_departure,departure,vertrekkend,离场
button_desel,X,,关闭
button_deselect,deselect,deselecteer,取消选择
button_display,display,weergave,显示
button_endgame,end game,eindig spel,结束游戏
button_enroute,enroute,overvliegend,飞越
button_errors,errors,fouten,错误
button_events,events,events,事件
button_extra,extra,extra,额外
button_fixed,fixed,vast,固定
button_flowfixed,flow fixed,flow vast,流量固定
button_flowvary,flow vary,flow variabel,流量可变
button_font,font,lettertype,字体大小
button_freqs,freqs,freqs,频率
button_fullscreen,fullscreen,fullscreen,全屏
button_goals,goals,doelen,目标
button_handoff,H/O,,移交
button_heading,heading,,航向
button_help,help,help,帮助
button_hold,HOLD,,等待
button_ident,ident,ident,识别
button_ils,ILS,,ILS
button_import,import,importeer,导入
button_interface,interface,interface,界面
button_label,label,label,标签
button_line,line,lijn,航向线
button_llz,LLZ,,LLZ
button_lock,lock,vastzetten,锁定
button_manual,manual,handleiding,手册
button_menu,menu,menu,菜单
button_nav,NAV,,导航
button_new,new,nieuw,新建
button_newgame,new game,nieuw spel,新游戏
button_nodepart,no depart,geen dep,无离场
button_noise,noise,ruis,噪音
button_normal,normal,normaal,正常
button_nosecond,no second,geen secund,无次要机场
button_off,off,uit,关闭
button_ok,OK,,确定
button_on,on,aan,开启
button_orient,orient,orient,方向
button_pause,pause,pauze,暂停
button_pressure,pressure,luchtdruk,气压
button_quit,exit,afsluiten,退出
button_radio,radio,radio,无线电
button_randomwx,random wx,random weer,随机天气
button_range,range,afstand,距离分划
button_rate,rate,snelheid,速率
button_readbacks,readbacks,readbacks,复诵
button_realism,realism,realisme,真实状况
button_realtime,real time,real time,实时
button_remove,remove,verwijder,移除
button_replay,replay,herhaling,回放
button_rewind,rewind,terugspoelen,回退
button_runway,runway,baan,跑道
button_runways,runways,banen,跑道组
button_scenario,scenario,scenario,场景
button_share,share,delen,分享
button_sid,SID,,SID
button_skillcap,skill cap,skill cap,技评上限
button_skillfixed,skill fixed,skill vast,技评固定
button_smooth,smooth,soepel,平滑
button_sound,sound,geluid,音频
button_speed,speed,snelheid,速度
button_standard,standard,standaard,标准
button_store,Play Store,Play Store,应用商店
button_sweep,sweep,sweep,扫描间隔
button_target,target,target,图标
button_timer,timer,timer,计时器
button_traffic,traffic,verkeer,交通量
button_variable,variable,variabel,可变
button_weather,weather,weer,天气
button_website,website,website,网站
button_wind,wind,wind,风
button_zoom,zoom,,缩放
color_black,Black,Zwarte,黑色
color_blue,Blue,Blauwe,蓝色
color_cyan,Cyan,Cyane,青色
color_darkblue,Dark blue,Donkerblauwe,深蓝色
color_darkgreen,Dark green,Donkergroene,深绿色
color_darkgrey,Dark grey,Donkergrijze,深灰色
color_green,Green,Groene,绿色
color_grey,Grey,Grijze,灰色
color_magenta,Magenta,Magenta,洋红色
color_white,White,Witte,白色
color_yellow,Yellow,Gele,黄色
help_1_0,To land a plane:,Zo land je een vliegtuig:,降落飞机：
help_1_1,Set the {menu_altitude} to {ALT},Selecteer {menu_altitude} {ALT},将{menu_altitude}设置为{ALT}
